# JPWiki Japanese localization data
# kind	key	english	japanese
gmst	sAbortText		中断
gmst	sActivateCreatureCalmed		この生き物は鎮められていて反応できません。
gmst	sActivateNPCCalmed		は鎮められていて反応できません。
gmst	sAddAnEffect		魔法を作るためには、最低一つの効果は追加しなければなりません。
gmst	sAddIngredient		原材料の追加
gmst	sAddItemtoInventory		を手にいれた。
gmst	sAddItemtoInventoryText		を失いました。
gmst	sAddItemtoSpellList		が追加されました。
gmst	sAddedEffects		追加効果
gmst	sAge		年齢
gmst	sAll		全て
gmst	sAnimationCanNotEquipArmor		攻撃の最中に防具を変更することはできません。
gmst	sAnimationCanNotEquipWeapon		攻撃の最中に武器を持ち替えることはできません。
gmst	sAnimationCanNotUnequip		攻撃の最中に武器を替えることはできません。
gmst	sAreaText		エリア
gmst	sArmor		鎧
gmst	sArmorWeightHeavy		重装
gmst	sArmorWeightLight		軽装
gmst	sAttributeDamaged		はダメージを受けた。
gmst	sAttributeDescAgility		Acrobaticsやバランス、Fatigueの総量、弓による攻撃時のダメージ量に影響します。Security、Sneak、Marksmanの各スキルに関係しています。
gmst	sAttributeDescEndurance		Fatigueの量、Healthの量、レベルアップ時のHealth増加量に影響します。Block、Armorer、HeavyArmorの各技能に関係しています。
gmst	sAttributeDescIntelligence		Magickaの総量と、魔法行使に影響します。Alchemy、Conjuration、Mysticismの各スキルに関係しています。
gmst	sAttributeDescLuck		Luckはあなたの全ての行動に影響を与えますが、特定のスキルに関係する事はありません。
gmst	sAttributeDescPersonality		人々のあなたに対する好感度に影響し、よりよい情報収集が可能になります。Speechcraft、Mercantile、Illusionの各スキルに関係しています。
gmst	sAttributeDescSpeed		移動速度に影響します。Athletics、LightArmor、Acrobaticsの各スキルに関係しています。
gmst	sAttributeDescStrength		持ち運べる荷物の重量、Fatigueの量、剣や斧等といった直接攻撃武器を使用した攻撃時のダメージ量に影響します。Blunt、Blade、HandToHandの各スキルに関係しています。
gmst	sAttributeDescWillpower		Magickaの自然回復速度、Fatigueの量に影響します。Destruction、Alteration、Restorationの各技能に関係しています。
gmst	sAttributeDrained		が奪われている。
gmst	sAttributeText		特性
gmst	sAutoAttempt		自動解除
gmst	sAutoLoading		オートロードしました。
gmst	sAutoSaveDisabledDueToLackOfSpace		セーブデータが一杯です。オートセーブは無効になります。
gmst	sAutoSaving		オートセーブしました。
gmst	sBack		戻る
gmst	sBald		はげ頭
gmst	sBeard		髭
gmst	sBeardcheeks		ほほひげ　濃い/薄い
gmst	sBeardcircle		丸ひげ 明るい/暗い
gmst	sBeardflushed		あごひげ 赤みがかった/青白い
gmst	sBeardgoatee		ヤギひげ　濃い/薄い
gmst	sBeardlight		あごひげ 濃い/薄い
gmst	sBeardmoustache		口ひげ 濃い/薄い
gmst	sBladeOneHand		Blade- 片手
gmst	sBladeTwoHand		Blade- 両手
gmst	sBlue		青
gmst	sBluntOneHand		Blunt- 片手
gmst	sBluntTwoHand		Blunt- 両手
gmst	sBow		弓
gmst	sBrow		眉
gmst	sBrowRidge		眼窩上孔 高い/低い
gmst	sBrowRidgeInner		眼窩上孔内 上/下
gmst	sBrowRidgeOuter		眼窩上孔外 上/下
gmst	sButton		ボタン
gmst	sButtonLocked		このボタンの割り当ては変えることができません
gmst	sBuy		買う
gmst	sCanNotEquipAlchemy		敵が側にいる間はポーションを作成できません。
gmst	sCanNotEquipQuestArrows		クエストのための矢は撃つことができません。
gmst	sCanNotEquipRepairHammer		敵が側にいる間に修理はできません。
gmst	sCanNotEquipSoulGem		戦闘中に再チャージすることはできません。
gmst	sCanNotEquipWornEnchantment		現在このエンチャントアイテムは装備できません。
gmst	sCanNotReadBood		敵が側にいる間に本を読むことはできません。
gmst	sCanNotSummonInWater		水中では召喚できません。
gmst	sCanNotTrainAnymore		現在のレベルでの、訓練の限界に達しました。
gmst	sCanNotTrainHigher		この人物があなたに教えることは、もう何もありません。
gmst	sCancel		取り消し
gmst	sCantChangeResolution		解像度を変更するには現在のゲームを終了する必要があります。
gmst	sCantEquipBrokenItem		壊れたアイテムは修理するまで装備できません。
gmst	sCantEquipGeneric		このアイテムは装備できません。
gmst	sCantQuickLoad		ゲームの停止中はクイックロードできません。
gmst	sCantQuickSave		ゲームの停止中はクイックセーブできません。
gmst	sCantRaiseAnyAttributes		完璧なものはそれ以上良くなりえません。あなたの能力は最高の値になっています。
gmst	sCantRemoveWornItem		消耗したアイテムを取り外すことはできません。
gmst	sCantSaveNow		今はセーブできません。
gmst	sCantUnequipGeneric		このアイテムをはずすことはできません。
